Id,Title,Author,Link
129,The Square Root of 2,Jerry T. Bonnell and Robert J. Nemiroff,http://www.gutenberg.org/ebooks/129
130,Orthodoxy,G. K. Chesterton,http://www.gutenberg.org/ebooks/130
131,The Pilgrim's Progress from this world to that which is to come,John Bunyan,http://www.gutenberg.org/ebooks/131
135,Les Misérables,Victor Hugo,http://www.gutenberg.org/ebooks/135
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School",Burnett,http://www.gutenberg.org/ebooks/137
139,The Lost World,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/139
145,Middlemarch,George Eliot,http://www.gutenberg.org/ebooks/145
146,A Little Princess,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/146
148,The Autobiography of Benjamin Franklin,Benjamin Franklin,http://www.gutenberg.org/ebooks/148
149,The Lost Continent,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/149
155,The Moonstone,Wilkie Collins,http://www.gutenberg.org/ebooks/155
157,Daddy-Long-Legs,Jean Webster,http://www.gutenberg.org/ebooks/157
159,The Island of Doctor Moreau,H. G. Wells,http://www.gutenberg.org/ebooks/159
163,Flower Fables,Louisa May Alcott,http://www.gutenberg.org/ebooks/163
164,Twenty Thousand Leagues under the Sea,Jules Verne,http://www.gutenberg.org/ebooks/164
167,American Hand Book of the Daguerreotype,S. D. Humphrey,http://www.gutenberg.org/ebooks/167
168,The History and Practice of the Art of Photography,Henry Hunt Snelling,http://www.gutenberg.org/ebooks/168
169,The Well at the World's End: A Tale,William Morris,http://www.gutenberg.org/ebooks/169
172,The Haunted Bookshop,Christopher Morley,http://www.gutenberg.org/ebooks/172
173,The Insidious Dr. Fu Manchu,Sax Rohmer,http://www.gutenberg.org/ebooks/173
174,The Picture of Dorian Gray,Oscar Wilde,http://www.gutenberg.org/ebooks/174
175,The Phantom of the Opera,Gaston Leroux,http://www.gutenberg.org/ebooks/175
180,The 1994 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/180
200,"The Project Gutenberg Encyclopedia, Volume 1 of 28",Project Gutenberg,http://www.gutenberg.org/ebooks/200
201,Flatland: A Romance of Many Dimensions (Illustrated),Edwin Abbott Abbott,http://www.gutenberg.org/ebooks/201
202,My Bondage and My Freedom,Frederick Douglass,http://www.gutenberg.org/ebooks/202
203,Uncle Tom's Cabin,Harriet Beecher Stowe,http://www.gutenberg.org/ebooks/203
204,The Innocence of Father Brown,G. K. Chesterton,http://www.gutenberg.org/ebooks/204
207,The Spell of the Yukon and Other Verses,Robert W. Service,http://www.gutenberg.org/ebooks/207
